player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Riccardo Calafiori,Arsenal,DEF,5.6,26,13,13.0,8.0,1,2,134,2,0,0,0,0,0,1,0,3,74.2,23.5,57.0,15.4,13.0,2,2.3,4.6,619085,75387,343536,49095,0.1,-0.1,0.1,-0.1,1.3,0.02,1.32,1.04,2,1,4,6,5,3.36,,12,4,87,20,17,3,14,2,,,,,,,0.87,0.0,0.01,0.88,0.7,0.0,119,11,1,1,1,1,52,19,1.34,1.34
Jurriën J.Timber,Arsenal,DEF,5.6,24,24,12.0,6.6,2,1,82,1,0,0,0,0,0,1,0,3,98.0,28.8,75.0,20.2,12.0,1,2.1,4.3,442347,81489,427766,43897,0.1,-0.1,0.1,-0.1,0.81,0.05,0.86,0.83,1,6,3,2,9,9.88,,1,1,64,14,5,1,3,1,,,,,,,0.89,0.0,0.05,0.94,0.91,0.0,118,10,2,2,3,2,63,23,1.1,1.1
Antoine Semenyo,Bournemouth,MID,7.2,21,6,10.5,22.3,2,1,180,1,4,0,0,0,0,0,0,3,86.6,37.3,77.0,20.1,10.5,1,1.5,2.9,1649725,154109,748692,105350,0.2,-0.2,0.1,-0.1,1.59,0.09,1.68,2.67,2,1,1,8,10,5.0,,7,3,45,37,4,2,4,2,,,,,3.0,,0.8,0.0,0.04,0.84,1.34,2.0,30,17,3,1,4,2,17,6,1.0,0.5
Hugo Ekitiké,Liverpool,FWD,8.7,20,9,10.0,26.1,2,1,150,0,2,0,0,0,0,0,0,5,92.6,46.8,60.0,19.9,10.0,0,1.1,2.3,1146743,213360,528000,118401,0.2,-0.2,0.1,-0.1,1.35,0.08,1.43,2.27,2,0,4,2,6,3.6,,2,1,27,1,14,6,5,2,,,,,,,0.81,0.0,0.05,0.86,1.36,1.2,9,5,4,1,5,1,10,3,1.2,0.0
Josh Cullen,Burnley,MID,5.0,18,14,9.0,1.3,1,1,180,1,3,0,0,0,0,0,0,3,89.6,76.4,21.0,18.7,9.0,1,1.8,3.6,119431,16568,115777,15443,0.0,0.0,0.0,0.0,0.08,0.47,0.55,3.09,2,4,7,8,19,9.5,,4,1,6,6,72,41,8,5,1.0,,,,,,0.04,0.0,0.24,0.28,1.54,1.5,241,153,6,2,8,3,161,52,1.0,0.5
Guglielmo Vicario,Spurs,GKP,5.0,18,9,9.0,6.7,0,0,180,2,0,0,0,0,8,0,0,4,58.4,0.0,0.0,5.8,9.0,0,1.8,3.6,235865,86393,200707,33759,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.49,2,0,2,13,0,0.0,,29,5,617,74,594,73,119,5,,,,,,,0.0,4.0,0.0,0.0,1.24,0.0,245,10,7,1,9,1,61,9,1.0,1.0
Daniel Ballard,Sunderland,DEF,4.6,18,1,9.0,5.4,1,0,98,1,0,0,0,0,0,0,0,3,74.8,10.8,66.0,15.2,9.0,1,2.0,3.9,580859,192616,78797,160602,0.1,-0.1,0.0,0.0,0.18,0.18,0.36,0.56,2,1,15,4,16,14.69,Groin Injury - Expected back 13 Sep,11,3,166,49,9,2,15,3,,,,,,,0.17,0.0,0.17,0.34,0.51,0.0,365,64,5,3,7,4,74,28,1.84,0.92
João Pedro João Pedro,Chelsea,FWD,7.6,17,15,8.5,58.4,1,2,162,1,1,0,0,0,0,0,0,3,75.8,36.4,58.0,16.8,8.5,1,1.1,2.2,885758,483272,716914,54427,0.1,-0.1,0.1,-0.1,0.69,0.13,0.82,1.33,2,1,3,2,6,3.33,,10,3,46,3,15,7,10,3,,,,,,,0.38,0.0,0.07,0.45,0.74,0.56,21,8,12,3,14,3,1,1,1.11,0.56
Brennan Johnson,Spurs,MID,7.1,17,9,8.5,7.9,2,0,156,2,0,0,0,0,0,1,0,2,83.0,42.9,42.0,16.8,8.5,0,1.2,2.4,507862,78418,486813,38607,0.1,-0.1,0.1,-0.1,0.9,0.09,0.99,2.31,2,5,1,3,9,5.19,,8,4,36,30,28,13,9,6,,,,,,,0.52,0.0,0.05,0.57,1.33,0.0,31,18,10,3,12,4,53,17,1.15,1.15
Cody Gakpo,Liverpool,MID,7.6,17,10,8.5,11.9,1,2,180,0,4,0,0,0,0,0,0,2,87.6,61.9,54.0,20.4,8.5,0,1.1,2.2,585954,159935,421357,74575,0.1,-0.1,0.1,-0.1,0.26,0.51,0.77,2.63,2,4,3,10,17,8.5,,6,2,18,16,21,10,2,1,,,,,2.0,,0.13,0.0,0.26,0.39,1.32,2.0,20,13,11,4,13,5,35,10,1.0,0.0
