player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Erling Haaland,Man City,FWD,14.3,46,9,9.2,42.4,6,0,413,3,4,0,0,0,0,0,0,12,204.0,30.9,286.0,52.2,10.3,2,0.7,3.2,2306374,541661,578666,4756,0.3,-0.3,0.1,-0.1,6.18,0.32,6.5,5.95,5,1,9,10,20,4.36,,1,1,158,15,1,1,1,1,,,5.0,,1.0,,1.35,0.0,0.07,1.42,1.3,0.87,2,1,1,1,1,1,4,2,1.09,0.65
Antoine Semenyo,Bournemouth,MID,7.7,41,5,8.2,47.0,3,2,450,3,5,0,0,0,0,1,0,6,170.2,99.3,140.0,41.0,6.7,2,0.9,5.3,4803714,438735,331485,24603,0.7,-0.7,0.1,-0.1,2.78,0.26,3.04,3.62,5,9,5,28,42,8.4,,4,2,32,27,7,4,4,3,,,,,3.0,,0.56,0.0,0.05,0.61,0.72,1.0,21,14,9,3,3,1,3,2,1.0,0.6
Trevoh Chalobah,Chelsea,DEF,5.1,38,8,7.6,9.8,2,1,428,2,5,0,0,0,0,1,0,2,180.4,34.3,76.0,29.1,8.0,1,1.6,7.5,1068714,211367,122633,17341,0.1,-0.1,0.0,0.0,0.75,0.55,1.3,5.24,5,10,41,15,51,10.72,,2,1,138,34,42,3,22,2,,,,,,,0.16,0.0,0.12,0.28,1.1,1.05,234,33,3,2,4,2,43,15,1.05,0.42
Marcos Senesi,Bournemouth,DEF,4.7,37,9,7.4,13.3,0,1,450,3,5,0,0,0,0,1,0,5,144.8,42.8,14.0,20.2,8.7,1,1.9,7.9,1520521,154707,314215,10403,0.2,-0.2,0.0,0.0,0.14,0.15,0.29,3.62,5,9,57,21,66,13.2,,13,4,112,26,226,65,65,16,,,,,,,0.03,0.0,0.03,0.06,0.72,1.0,384,66,2,1,5,3,31,11,1.0,0.6
Marc Guéhi,Crystal Palace,DEF,4.7,36,7,7.2,24.5,1,1,450,3,2,0,0,0,0,0,0,3,118.2,26.5,35.0,18.0,7.5,1,1.6,7.7,1694770,321166,153024,35707,0.2,-0.2,0.0,0.0,0.39,0.04,0.43,4.68,5,10,26,17,36,7.2,,39,15,174,45,124,22,83,24,,,,,,,0.08,0.0,0.01,0.09,0.94,0.4,383,65,4,3,6,4,13,4,1.0,0.6
Riccardo Calafiori,Arsenal,DEF,5.7,35,2,7.0,14.2,1,2,381,3,2,0,0,0,0,2,0,3,93.0,44.2,89.0,22.6,3.0,2,0.5,6.1,1462659,280841,67044,30565,0.2,-0.2,0.0,0.0,1.57,0.09,1.66,2.55,5,8,12,16,20,4.72,,73,34,110,24,29,2,52,7,,,,,,,0.37,0.0,0.02,0.39,0.6,0.47,124,11,123,53,7,5,27,8,1.18,0.71
Jurriën J.Timber,Arsenal,DEF,5.8,35,1,7.0,13.4,2,1,341,2,2,0,0,0,0,2,0,5,146.2,68.1,129.0,34.4,3.7,1,0.6,6.0,1330121,261544,125337,32696,0.3,-0.3,0.1,-0.1,1.2,0.17,1.37,2.2,4,17,13,11,30,7.92,,12,3,66,15,11,1,12,1,,,,,,,0.32,0.0,0.04,0.36,0.58,0.53,116,9,88,38,8,6,30,10,1.06,0.53
João Pedro João Pedro,Chelsea,FWD,7.8,35,2,7.0,67.2,2,3,420,2,4,0,0,0,0,0,0,8,154.6,83.2,128.0,36.3,6.0,2,0.8,4.5,2393655,866837,101518,108400,0.3,-0.3,0.0,0.0,1.5,0.2,1.7,4.9,5,3,10,9,22,4.71,,8,2,46,2,12,7,9,3,,,,,,,0.32,0.0,0.04,0.36,1.05,0.86,18,6,19,4,9,2,1,1,1.07,0.43
Jaidon Anthony,Burnley,MID,5.5,34,10,6.8,2.3,3,1,442,2,7,0,0,0,0,1,0,5,168.0,61.8,151.0,38.1,6.3,2,1.1,6.2,269457,55542,98664,12654,0.0,0.0,0.0,0.0,2.06,0.53,2.59,9.33,5,6,10,22,38,7.74,,5,3,74,55,4,2,6,5,3.0,,1.0,,,,0.42,0.0,0.11,0.53,1.9,1.43,157,97,14,7,11,3,122,42,1.02,0.41
Moisés Caicedo,Chelsea,MID,5.6,33,4,6.6,10.8,2,0,450,2,5,0,0,0,0,1,0,4,179.0,48.5,33.0,26.0,6.7,1,1.2,5.9,789811,265414,145403,31618,0.1,-0.1,0.0,0.0,0.44,0.2,0.64,5.68,5,21,24,29,74,14.8,,3,1,90,63,133,82,31,19,,,,,,,0.09,0.0,0.04,0.13,1.14,1.0,129,83,7,2,12,4,40,13,1.0,0.4
Dan Burn,Newcastle,DEF,5.0,32,9,6.4,5.8,0,0,450,4,3,0,0,0,0,1,0,2,92.2,18.5,25.0,13.6,5.8,0,1.2,6.4,339994,139812,27303,14731,0.0,0.0,0.0,0.0,0.05,0.12,0.17,2.65,5,6,39,19,45,9.0,,76,35,221,67,165,40,137,46,,,,,,,0.01,0.0,0.02,0.03,0.53,0.6,242,38,21,6,13,7,63,24,1.0,0.8
Nick Pope,Newcastle,GKP,5.0,32,6,6.4,6.3,0,1,450,4,3,0,0,0,10,1,0,3,88.4,0.0,0.0,8.8,5.8,1,1.2,6.4,394037,155048,53967,19019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,5,0,4,49,0,0.0,,79,11,681,80,661,75,208,12,,,,,,,0.0,2.0,0.0,0.0,0.53,0.6,246,9,22,2,14,1,61,10,1.0,0.8
Hugo Ekitiké,Liverpool,FWD,8.7,32,8,6.4,28.0,3,1,365,2,3,0,0,0,0,0,0,7,147.8,51.8,95.0,29.4,5.2,0,0.6,3.7,2294123,1178861,130282,112485,0.2,-0.2,-0.1,0.1,1.77,0.2,1.97,3.45,5,3,10,10,23,5.67,,11,3,86,7,25,12,21,5,,,,,,,0.44,0.0,0.05,0.49,0.85,0.74,9,5,40,6,15,3,10,3,1.23,0.49
Tino Livramento,Newcastle,DEF,5.1,31,6,6.2,9.6,0,1,450,4,3,0,0,0,0,0,0,3,68.2,55.2,16.0,13.9,5.5,0,1.1,6.1,846574,202973,25618,26429,0.1,-0.1,0.0,0.0,0.0,0.32,0.32,2.65,5,6,9,22,15,3.0,,126,58,81,18,214,57,130,43,,,,,,,0.0,0.0,0.06,0.06,0.53,0.6,238,36,29,10,17,9,44,16,1.0,0.8
Mohamed M.Salah,Liverpool,MID,14.5,30,5,6.0,51.6,2,2,450,2,5,0,0,0,0,0,0,2,127.0,106.2,128.0,36.1,5.5,0,0.4,2.1,970883,1048269,52791,277511,0.0,0.0,0.0,0.0,1.22,0.69,1.91,3.95,5,0,4,17,21,4.2,,27,12,26,22,13,5,11,8,,,4.0,,1.0,,0.24,0.0,0.14,0.38,0.79,1.0,1,1,32,13,26,8,2,1,1.0,0.4
Tyrick Mitchell,Crystal Palace,DEF,5.0,30,8,6.0,1.9,1,0,450,3,2,0,0,0,0,2,0,2,134.2,107.3,37.0,27.9,5.2,0,1.0,6.0,123134,64413,10301,4910,0.0,0.0,0.0,0.0,0.28,0.34,0.62,4.68,5,19,19,24,38,7.6,,20,6,25,4,119,21,24,3,,,,,,,0.06,0.0,0.07,0.13,0.94,0.4,271,43,37,15,19,11,132,51,1.0,0.6
Maxence Lacroix,Crystal Palace,DEF,5.1,30,2,6.0,4.2,0,1,450,3,2,0,0,0,0,1,0,2,118.8,15.6,34.0,16.8,5.5,1,1.1,5.9,459990,139608,12840,33642,0.1,-0.1,0.0,0.0,0.3,0.14,0.44,4.68,5,9,40,14,49,9.8,,38,14,241,78,128,23,95,30,,,,,,,0.06,0.0,0.03,0.09,0.94,0.4,237,35,28,9,21,12,82,32,1.0,0.6
Guglielmo Vicario,Spurs,GKP,5.1,30,1,6.0,11.9,0,0,450,3,3,0,0,0,19,0,0,5,150.0,0.1,0.0,15.0,4.0,0,0.8,5.9,959055,268222,92526,36308,0.1,-0.1,0.0,0.0,0.0,0.01,0.01,6.0,5,0,5,50,0,0.0,,9,1,376,6,687,81,112,1,,,,,,,0.0,3.8,0.0,0.0,1.2,0.6,235,6,75,7,20,2,37,5,1.0,0.6
Enzo Enzo,Chelsea,MID,6.7,30,1,6.0,13.1,2,2,438,2,5,0,0,0,0,1,0,1,131.8,105.8,84.0,32.2,5.7,1,0.9,4.5,1345547,395724,38292,88924,0.2,-0.2,0.0,0.0,1.93,0.46,2.39,5.63,5,7,7,14,28,5.75,,23,10,27,23,32,17,17,12,4.0,,3.0,,4.0,,0.4,0.0,0.09,0.49,1.16,1.03,49,32,27,12,25,7,32,11,1.03,0.41
Richarlison Richarlison,Spurs,FWD,6.7,29,9,5.8,14.2,3,1,347,2,3,0,0,0,0,1,0,6,141.4,48.3,190.0,38.0,4.0,1,0.6,4.3,1715655,717225,153385,41866,0.2,-0.2,0.0,0.0,1.64,0.18,1.82,5.17,4,3,9,8,20,5.19,,16,4,91,8,2,2,7,2,,,,,3.0,,0.43,0.0,0.05,0.48,1.34,0.78,48,17,78,10,31,4,26,6,1.04,0.52
Robin Roefs,Sunderland,GKP,4.5,29,2,5.8,2.4,0,0,450,2,4,0,1,0,14,1,0,4,131.0,0.0,0.0,13.0,6.7,1,1.5,6.4,258979,73794,33097,7012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,5,0,6,47,0,0.0,,25,3,598,73,573,68,143,3,,,,,,,0.0,2.8,0.0,0.0,1.05,0.8,455,30,6,1,27,3,118,16,1.0,0.4
Cristian Romero,Spurs,DEF,5.1,29,2,5.8,7.0,0,1,450,3,3,0,0,0,0,2,0,3,126.0,26.5,43.0,19.5,5.3,1,1.0,5.7,484780,178265,53535,21136,0.1,-0.1,0.0,0.0,0.07,0.19,0.26,6.0,5,12,31,22,43,8.6,,28,9,175,46,94,11,71,18,,,,,,,0.01,0.0,0.04,0.05,1.2,0.6,236,34,34,13,29,14,57,22,1.0,0.6
Anton Stach,Leeds,MID,5.0,29,15,5.8,1.2,1,2,450,2,7,0,0,0,0,1,0,3,111.6,167.1,59.0,33.8,6.3,1,1.3,5.8,128835,35648,85747,9060,0.0,0.0,0.0,0.0,0.61,0.55,1.16,6.52,5,10,17,16,43,8.6,,46,16,7,7,62,37,14,9,1.0,,4.0,,,,0.12,0.0,0.11,0.23,1.3,1.4,282,171,11,5,28,9,173,57,1.0,0.4
Iliman Ndiaye,Everton,MID,6.5,28,6,5.6,9.4,2,1,418,2,5,0,0,0,0,1,0,0,142.0,91.1,81.0,31.5,6.5,0,1.0,4.3,440943,597914,150977,22742,0.0,0.0,0.0,0.0,1.31,0.42,1.73,6.1,5,12,5,34,51,10.98,,15,6,40,33,37,21,19,14,,,,,1.0,,0.28,0.0,0.09,0.37,1.31,1.08,57,39,10,4,34,10,46,14,1.08,0.43
Micky Van de Ven,Spurs,DEF,4.7,28,1,5.6,33.3,1,0,439,3,3,0,0,0,0,1,0,2,106.8,17.1,39.0,16.3,5.3,1,1.1,6.0,1337257,515440,123964,40814,0.2,-0.2,0.0,0.0,0.68,0.03,0.71,6.0,5,5,22,18,27,5.54,,51,21,231,72,111,19,103,34,,,,,,,0.14,0.0,0.01,0.15,1.23,0.62,385,67,33,12,33,17,6,1,1.03,0.62
Ryan Gravenberch,Liverpool,MID,5.5,27,15,6.8,2.3,2,1,360,2,3,0,0,0,0,2,0,4,135.4,91.9,37.0,26.5,6.8,1,1.2,4.9,250342,39516,172255,10314,0.0,0.0,0.0,0.0,0.29,0.32,0.61,2.25,4,8,8,21,37,9.25,,19,8,38,31,120,73,28,17,,,,,,,0.07,0.0,0.08,0.15,0.56,0.75,156,96,5,1,10,2,121,41,1.0,0.5
